,Address,geocoded
0,"36 S 19th St, Philadelphia, PA 19103","(39.9526505, -75.1721816)"
1,"727 Chestnut St, Philadelphia, PA 19106","(39.9496865, -75.1534635)"
2,"1236-40 Washington Ave, Philadelphia, PA 19147","(39.9371557, -75.1643425)"
3,"5847 N Broad St, Philadelphia, PA 19141","(40.0426216, -75.1433673)"
4,"1 Arrivals Rd, Philadelphia, PA 19153","(39.8772192, -75.2479409)"
5,"15 S 36th St, Philadelphia, PA 19104","(39.9552564, -75.1941655)"
6,"510 N Front St, Philadelphia, PA 19123","(39.9601256, -75.1392374)"
7,"7601 Roosevelt Blvd, Philadelphia, PA 19152","(40.0496466, -75.05028209999999)"
8,"1201 E Erie Ave, Philadelphia, PA 19124","(40.0058255, -75.1049012)"
9,"217 W Chelten Ave 233, Philadelphia, PA 19144","(40.0312736, -75.1797823)"
10,"7001 Essington Ave, Philadelphia, PA 19153","(39.9009311, -75.2268459)"
11,"6820-26 Castor Ave, Philadelphia, PA 19149","(40.0454134, -75.07214259999999)"
12,"10100 Bustleton Ave, Philadelphia, PA 19116","(40.1036605, -75.0288734)"
13,"6800 Rising Sun Ave, Philadelphia, PA 19111","(40.0549607, -75.0909901)"
14,"110 Leverington Ave, Philadelphia, PA 19127","(40.0299312, -75.2290592)"
15,"8913 Frankford Ave, Philadelphia, PA 19136","(40.0507311, -75.00911049999999)"
16,"6801 Germantown Ave, Philadelphia, PA 19119","(40.054373, -75.1863892)"
17,"1627 W Cheltenham Ave, Elkins Park, PA 19027","(40.065985, -75.14320560000002)"
18,"217 Bala Ave, Bala Cynwyd, PA 19004","(40.0054111, -75.2320119)"
19,"25 City Ave, Bala Cynwyd, PA 19004","(39.9999995, -75.22990039999999)"
